Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Mouser Part Number,Digikey Description,Verified Pad Assignment,Temperature Range Low,Verified Attributes,Digikey Part Number,Verified Geometry,Verified Pin Names,Temperature Range High,Centroid Not Specified,Capacitance,Voltage,Temperature Coefficient,Ipc Land Pattern Name,Tolerance,Dielectric Characteristic,Category 4C11811B7D3097D6,Category 85Ce48C4B2B95E09,Capacitance Tolerance,Voltage Rating Dc,Category 7542B8484461Ae85,Imported From,Category F8883582C9A8234F,Dielectric Material,Voltage - Rated,Operating Temperature,Manufacturer Size Code,Pcn Part Number,Height - Seated (Max),Possible Substitute,Esr (Equivalent Series Resistance),Size / Dimension,Features,Mounting Type,Other Names,Voltage - Reverse Standoff (Typ),Current - Peak Pulse (10/1000Μs),Power - Peak Pulse,Mfg Package Ident,Polarity,Current Rating,Category 4Cf281F87D149735,Category C85A0550F9Be139D,Category A3416E4B92A47886,Category 87A44Aaeb6Be5C63,Category 3B27F62D0A3Ae0E0,Max Output Current,Category 9E07530Daf1645C0,Verified Manufactured,Verified Pricing,Is Connector,Is Male,Is Female,Specifications,Gender,Connector Type,Conn 0 Type,Category 0Dd3C0D93D8Cd614,Conn 3 Type,Conn 1 Type,Category A1D76Cdd91F27A10,Category 848D4987B4D35F4A,Transmission Delay Time,Conn 2 Type,Category Ab56665C9B747091,Fall Time,Millicandela Rating,Category 1F23D2292F16C4E4,Category 8Ce841E2B947572F,Viewing Angle,Lens Color,Voltage - Forward (Vf) (Typ),Lens Transparency,Color,Power,Category A8D365D999257314,Category B814751E89Ff63D3,Power Dissipation,Category D77D1A77E69F0Cba,Category 2F8Ae2801E7Ef44D,Category Cd01000Bfc2916C6,Resistance Tolerance,Category 5C6A91606D4187Ad,Resistance,Category 5A00970A6D5C81C7,Power Rating,Mouser Description,Mfg Package Ident Rev,Mfg Package Ident Date,Life,Contact Rating,Contact Resistance,Category 8Ce341E9Bf4C5724,Contacts Type,Category A9A064Aa9A0A7267,Category Db391633E8F300Fe,Approved Alternate Part Number
5V-15V IN,"Power Barrel Connector Jack 2.50mm ID (0.098""), 5.50mm OD (0.217"") Through Hole, Right Angle",CUI,PJ-002B,,CONN_JACK_PTH,1,490-PJ-002B,CONN PWR JACK 2.5X5.5MM SOLDER,true,-25°C,true,CP-002B-ND,true,true,+85°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10 C11,SURFACE MOUNT ALUMINUM ELECTROLYTIC CAPACITORS,United Chemi-Con,EMVA250ADA470MF55G,,SMT_CAP_6MM6_6MM6,2,661-EMVA250ADA470MF5,CAP ALUM 47UF 20% 25V SMD,true,-40°C,true,565-2103-1-ND,true,true,+85°C,No,47μF,25V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12 C3 C9,22µF ±20% Multi-layer Ceramic Capacitor,Samsung,CL10A226MP8NUNE,,0603,3,,CAP CER 22UF 10V X5R 0603,true,-55°C,true,1276-1274-1-ND,true,true,+85°C,No,22µF,10V,X5R,CAPC16080X80,±20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 C4,"Surface Mount Multilayer Ceramic Chip Capacitors for Commodity Applications, 1nF, 50V",Vitramon,VJ0603Y102KXACW1BC,Digi-Key 720-1529-6-ND/Digi-Key 720-1529-1-ND/Newark 52X6476/Newark 58J0115/Digi-Key 720-1529-2-ND,0603,2,77-VJ0603Y102KXACBC,CAP CER 1000PF 50V X7R 0603,true,-55°C,true,720-1529-1-ND,true,true,+125°C,No,1.0nF,50V,,,,X7R,Single Components,Uncategorized,±10%,50 V,Passive Components,octopart,Capacitors,Tantalum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C48,"Multilayer Ceramic Chip Capacitor 0.1uF, 0603, X7R, 25V",TDK,C1608X7R1E104K080AA,Digi-Key 445-1316-6-ND/Digi-Key 445-1316-1-ND/Newark 87R3692/Newark 90R7696/Digi-Key 445-1316-2-ND,0603,1,810-C1608X7R1E104K,CAP CER 0.1UF 25V X7R 0603,true,-55°C,true,445-1316-1-ND,true,true,+125°C,No,100.0nF,25V,,CAPC16080X45,,X7R,Single Components,Uncategorized,±10%,,Passive Components,octopart,Capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,0.1µF ±10% 50V Ceramic Capacitor X7R,Murata,GRM21BR71H104KA01L,,0805 (2012 metric),1,81-GRM40X104K50L,CAP CER 0.1UF 50V X7R 0805,true,-55°C,true,490-1666-1-ND,true,true,+125°C,No,100.0nF,50V,,CAPC200125X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6 C7,Tantalum Capacitors,AVX,TAJB226K010RNJ,Digi-Key 478-3039-6-ND/Digi-Key 478-3039-1-ND/Digi-Key 478-3039-2-ND/Newark 30H0360/Newark 60R5891,1210 (3225 metric),2,581-TAJB226K010,22µF ±10% Molded Tantalum Capacitors 10V 1210 (3528 Metric) 2.4 Ohm,true,-55°C,true,478-3039-1-ND,true,true,+125°C,No,22µF,10V,,CAPC350280X190,±10%,,Single Components,Uncategorized,,,Passive Components,,Capacitors,,10V,-55°C ~ 125°C,B,TAJ Series Suffix 08/Dec/2008,"0.083"" (2.10mm)",THJB226K010AJN,2.4 Ohm,"0.138"" L x 0.110"" W (3.50mm x 2.80mm)",General Purpose,Surface Mount,TAJB226K010R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,Surface Mount Multilayer Ceramic Capacitors,YAGEO,CC0805KKX5R8BB106,,0805 (2012 metric),1,603-CC805KKX5R8BB106,CAP CER 10UF 25V X5R 0805,true,-55°C,true,311-1869-1-ND,true,true,+85°C,Yes,10.0µF,25V,,CAPC200125X45,±10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,Transient Voltage Suppressor,ON Semi,SMCJ58A,,SMC/DO-214AB,1,512-SMCJ58A,TVS DIODE 58VWM 93.6VC SMC,true,,true,SMCJ58AFSCT-ND,true,true,+150°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,58V,,1500W (1.5kW),CASE 403AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2 D8,1.0A SURFACE MOUNT GLASS PASSIVATED RECTIFIER,Diodes,S1KB-13-F,,DO-214AA,2,621-S1KB-F,Diode Standard 800V 1A Surface Mount,true,-65°C,true,S1KB-FDICT-ND,true,true,+150°C,No,10pF,,,,,,,,,,,octopart,,,,,,,,,,,,SMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
